"","OpenTime","Open","High","Low","Close","CloseTime","BaseAssetVolume","NumberOfTrades","TakerBuyVolume","TakerBuyBaseAssetVolume","Ignore","NA"
"1",2017-08-17,4261.48,4485.39,4200.74,4285.08,1970-01-01 00:00:00,1503014399999,3454770.05073206,3427,616.248541,2678216.40060401,0
"2",2017-08-18,4285.08,4371.52,3938.77,4108.37,1970-01-01 00:00:01,1503100799999,5086958.30617151,5233,972.86871,4129123.31651808,0
"3",2017-08-19,4108.37,4184.69,3850,4139.98,1970-01-01 00:00:00,1503187199999,1549483.73542151,2153,274.336042,1118001.87008735,0
"4",2017-08-20,4120.98,4211.08,4032.62,4086.29,1970-01-01 00:00:00,1503273599999,1930364.39032646,2321,376.795947,1557401.3337373,0
"5",2017-08-21,4069.13,4119.62,3911.79,4016,1970-01-01 00:00:00,1503359999999,2797231.71402728,3972,557.356107,2255662.55315837,0
"6",2017-08-22,4016,4104.82,3400,4040,1970-01-01 00:00:00,1503446399999,3752505.77214051,6494,423.995181,1637188.36934226,0
"7",2017-08-23,4040,4265.8,4013.89,4114.01,1970-01-01 00:00:01,1503532799999,4148686.46581968,8629,309.419092,1293567.09519463,0
"8",2017-08-24,4147,4371.68,4085.01,4316.01,1970-01-01 00:00:00,1503619199999,3296476.41316476,6247,206.820412,868379.0641312,0
"9",2017-08-25,4316.01,4453.91,4247.48,4280.68,1970-01-01 00:00:00,1503705599999,2484637.34936327,6554,100.097974,434577.13574645,0
"10",2017-08-26,4280.71,4367,4212.41,4337.44,1970-01-01 00:00:00,1503791999999,977865.7333321,2260,56.190141,241363.80050245,0
"11",2017-08-27,4332.51,4400,4285.54,4310.01,1970-01-01 00:00:00,1503878399999,1521580.06202557,3670,101.651358,442442.17937215,0
"12",2017-08-28,4310.01,4399.82,4124.54,4386.69,1970-01-01 00:00:00,1503964799999,2591660.52579953,4349,142.787782,612364.20611134,0
"13",2017-08-29,4353.65,4625.85,4313.55,4587.48,1970-01-01 00:00:00,1504051199999,2682483.73582991,4159,143.442567,641982.02068658,0
"14",2017-08-30,4564.52,4647.51,4416.01,4555.14,1970-01-01 00:00:00,1504137599999,3683714.68666123,5551,196.062252,894620.23750883,0
"15",2017-08-31,4555.14,4745.42,4555.14,4724.89,1970-01-01 00:00:00,1504223999999,2579878.72401184,4161,131.947325,614342.53390234,0
"16",2017-09-01,4689.89,4885.55,4654.88,4834.91,1970-01-01 00:00:00,1504310399999,2665165.55924616,4000,118.660103,566254.43089734,0
"17",2017-09-02,4796.16,4939.19,4286.87,4472.14,1970-01-01 00:00:00,1504396799999,4257723.944817,7475,379.199863,1738334.08541735,0
"18",2017-09-03,4508.5,4714.76,4298.33,4509.08,1970-01-01 00:00:00,1504483199999,3121052.75230181,6022,258.934536,1169644.69159694,0
"19",2017-09-04,4505,4527.49,3972.51,4100.11,1970-01-01 00:00:01,1504569599999,5909947.49008974,9317,578.600851,2460362.61291664,0
"20",2017-09-05,4106.97,4484.99,3603,4366.47,1970-01-01 00:00:01,1504655999999,5083453.18675071,10084,533.476065,2214297.83961246,0
"21",2017-09-06,4366.49,4662.87,4335.26,4619.77,1970-01-01 00:00:00,1504742399999,3626346.05544323,7956,422.923063,1903231.7409154,0
"22",2017-09-07,4619.77,4788.59,4438.19,4691.61,1970-01-01 00:00:00,1504828799999,2305795.13638315,3070,240.683949,1111299.24357466,0
"23",2017-09-08,4691.66,4735.39,4028.93,4282.8,1970-01-01 00:00:01,1504915199999,4866527.22639337,4733,465.962119,2004277.28941755,0
"24",2017-09-09,4282.8,4426.62,4150.06,4258.81,1970-01-01 00:00:00,1505001599999,2815383.46568698,3777,287.989805,1233627.00774409,0
"25",2017-09-10,4258.81,4283,3801,4130.37,1970-01-01 00:00:00,1505087999999,2700371.80819211,3435,291.786887,1193884.03650449,0
"26",2017-09-11,4153.62,4334.43,4098.91,4208.47,1970-01-01 00:00:00,1505174399999,2956842.76250147,4228,322.19833,1361869.71324406,0
"27",2017-09-12,4208.6,4394.59,4040.8,4163.72,1970-01-01 00:00:00,1505260799999,3725190.62328952,6501,451.78067,1911015.26637066,0
"28",2017-09-13,4159.72,4165.38,3760,3944.69,1970-01-01 00:00:00,1505347199999,3570365.92571669,5019,363.053413,1425986.44091325,0
"29",2017-09-14,3944,3993,3165.13,3189.02,1970-01-01 00:00:01,1505433599999,5914261.40460825,9066,761.153976,2711572.43635069,0
"30",2017-09-15,3188.01,3856,2817,3700,1970-01-01 00:00:01,1505519999999,6588767.18669446,10445,966.122245,3236325.66838306,0
"31",2017-09-16,3674.01,3950,3470.66,3714.95,1970-01-01 00:00:01,1505606399999,4804878.24721283,8809,624.887842,2314536.03271908,0
"32",2017-09-17,3685.23,3748.21,3499.02,3699.99,1970-01-01 00:00:00,1505692799999,2466490.27859466,6355,273.931976,994843.63045949,0
"33",2017-09-18,3690,4123.2,3690,4035.01,1970-01-01 00:00:01,1505779199999,4069033.05715863,8220,417.638722,1651863.37125876,0
"34",2017-09-19,4060,4089.97,3830.91,3910.04,1970-01-01 00:00:00,1505865599999,3558315.19743872,7342,257.320352,1016803.88177532,0
"35",2017-09-20,3910.04,4046.08,3820,3900,1970-01-01 00:00:00,1505951999999,2839584.45308804,7231,395.275138,1562210.14983916,0
"36",2017-09-21,3889.99,3910,3567,3609.99,1970-01-01 00:00:01,1506038399999,3757043.07821264,8714,517.258926,1946238.63873747,0
"37",2017-09-22,3592.84,3750,3505.55,3595.87,1970-01-01 00:00:00,1506124799999,3031771.43292849,8152,511.059869,1848104.61254174,0
"38",2017-09-23,3595.88,3817.19,3542.91,3780,1970-01-01 00:00:00,1506211199999,2799706.99951511,8402,431.94671,1608679.14327472,0
"39",2017-09-24,3779.54,3789.99,3622.76,3660.02,1970-01-01 00:00:00,1506297599999,2445788.43620041,8724,290.93917,1077964.32638088,0
"40",2017-09-25,3660.02,3979.87,3653.69,3920.75,1970-01-01 00:00:00,1506383999999,2784170.85318322,9740,298.839159,1144089.17964881,0
"41",2017-09-26,3928,3976.99,3850.05,3882.35,1970-01-01 00:00:00,1506470399999,2061195.57868009,7971,225.570283,883925.0185633,0
"42",2017-09-27,3882.36,4249.94,3872.81,4193,1970-01-01 00:00:00,1506556799999,2554629.81447101,8373,348.083641,1418522.03112125,0
"43",2017-09-28,4192.11,4300,4101,4174.5,1970-01-01 00:00:00,1506643199999,3553178.87037354,11426,364.517452,1525467.35780567,0
"44",2017-09-29,4178.98,4263.86,3952.01,4174.69,1970-01-01 00:00:01,1506729599999,6571746.35900076,14834,660.408235,2706153.81551434,0
"45",2017-09-30,4175,4380,4138.1,4378.51,1970-01-01 00:00:00,1506815999999,3088354.40084536,9324,292.966693,1258540.22252994,0
"46",2017-10-01,4378.49,4406.52,4240.04,4378.48,1970-01-01 00:00:00,1506902399999,3137143.89184457,9816,291.975904,1263465.86667018,0
"47",2017-10-02,4400,4561.63,4360,4380,1970-01-01 00:00:00,1506988799999,2905282.77570845,8185,289.541406,1286786.89051625,0
"48",2017-10-03,4380,4467.33,4180.8,4310,1970-01-01 00:00:01,1507075199999,4627422.74283879,12379,492.735181,2107462.11039911,0
"49",2017-10-04,4314.9,4373,4142,4208.59,1970-01-01 00:00:00,1507161599999,3676415.10054891,11006,292.928777,1237552.36930596,0
"50",2017-10-05,4208.59,4355,4110,4292.43,1970-01-01 00:00:00,1507247999999,3295532.82397779,9158,351.042019,1483036.83360606,0
"51",2017-10-06,4318.99,4417,4292,4369,1970-01-01 00:00:00,1507334399999,2212035.12414239,6546,226.148177,988106.60264063,0
"52",2017-10-07,4369,4479.5,4312.56,4423,1970-01-01 00:00:00,1507420799999,1302533.21459281,4804,145.313076,637146.85809303,0
"53",2017-10-08,4425,4658,4425,4640,1970-01-01 00:00:00,1507507199999,2347356.46944654,7580,280.094854,1268660.82999198,0
"54",2017-10-09,4640,4889.98,4550,4786.95,1970-01-01 00:00:00,1507593599999,3040508.90436387,10372,350.756559,1654274.63749423,0
"55",2017-10-10,4786.95,4960,4680.59,4783.06,1970-01-01 00:00:01,1507679999999,5044283.86347582,11967,678.832674,3289613.76073974,0
"56",2017-10-11,4783.06,4881.61,4710,4821.43,1970-01-01 00:00:00,1507766399999,3609240.90903919,5895,540.087975,2586977.71897445,0
"57",2017-10-12,4821.43,5439.99,4810.16,5430,1970-01-01 00:00:01,1507852799999,6659759.29119366,8030,796.594719,4149667.59915114,0
"58",2017-10-13,5439.99,5846.17,5379.84,5649.98,1970-01-01 00:00:01,1507939199999,10597340.3010499,11663,878.638077,4945786.36371635,0
"59",2017-10-14,5650,5900,5580.01,5869.99,1970-01-01 00:00:00,1508025599999,5533972.4859947,6259,433.794904,2472775.20446234,0
"60",2017-10-15,5855.03,5922.3,5400.01,5709.99,1970-01-01 00:00:01,1508111999999,7553650.20132813,7452,601.422361,3384776.70651666,0
"61",2017-10-16,5710,5788.91,5585.19,5760.02,1970-01-01 00:00:01,1508198399999,8701914.79553535,9153,719.218538,4096285.84717841,0
