"","OpenTime","Open","High","Low","Close","CloseTime","BaseAssetVolume","NumberOfTrades","TakerBuyVolume","TakerBuyBaseAssetVolume","Ignore","NA"
"1",2017-08-17,301.13,312.18,298,302,1970-01-01 00:00:07,1503014399999,2154655.3003566,4522,6224.58999,1908705.3685302,0
"2",2017-08-18,302,311.79,283.94,293.96,1970-01-01 00:00:09,1503100799999,2858946.5093539,5658,7452.43542,2240813.2612264,0
"3",2017-08-19,293.31,299.9,278,290.91,1970-01-01 00:00:02,1503187199999,620022.5898617,1795,1537.9755,444713.6122086,0
"4",2017-08-20,289.41,300.53,282.85,299.1,1970-01-01 00:00:02,1503273599999,742847.8945599,2038,2186.68739,647506.0620205,0
"5",2017-08-21,299.1,346.52,294.6,323.29,1970-01-01 00:00:05,1503359999999,1689472.341214,3925,4004.19967,1297977.4231142,0
"6",2017-08-22,321.04,330.41,144.21,309.8,1970-01-01 00:00:07,1503446399999,2454425.8033137,6577,4433.78132,1364472.488333,0
"7",2017-08-23,312.25,324.99,309.41,315.74,1970-01-01 00:00:08,1503532799999,2753464.9450408,8540,2282.23633,728206.9176149,0
"8",2017-08-24,315.74,328.04,314.01,323.42,1970-01-01 00:00:06,1503619199999,2159417.1141537,6495,1901.90029,610929.1471679,0
"9",2017-08-25,323.42,338.28,323.42,327.24,1970-01-01 00:00:07,1503705599999,2354162.038294,7452,2595.82561,859314.6835184,0
"10",2017-08-26,327.24,335.44,323.41,330.79,1970-01-01 00:00:04,1503791999999,1601994.3773166,4400,941.99655,311132.2631003,0
"11",2017-08-27,332.18,348.13,330.73,348.13,1970-01-01 00:00:04,1503878399999,1554477.3581603,4973,1166.20029,392130.1151986,0
"12",2017-08-28,348.11,351,331.95,346,1970-01-01 00:00:04,1503964799999,1463758.1691041,4526,1114.26279,383473.9889103,0
"13",2017-08-29,347,377.6,346,374.7,1970-01-01 00:00:03,1504051199999,1102069.6205809,3265,923.16784,334768.8104693,0
"14",2017-08-30,374.7,393.71,362.05,385.93,1970-01-01 00:00:04,1504137599999,1679526.2125115,4812,1285.37799,487837.7447577,0
"15",2017-08-31,384.64,389.36,377.78,384.79,1970-01-01 00:00:04,1504223999999,1704441.3942666,4574,1432.19381,550808.610884,0
"16",2017-09-01,386.44,394.39,383.18,388.46,1970-01-01 00:00:04,1504310399999,1635227.6137661,4124,1564.05531,609630.9497713,0
"17",2017-09-02,388.58,394.32,320.08,343.14,1970-01-01 00:00:08,1504396799999,2904008.4613861,8217,2460.66776,868487.2833919,0
"18",2017-09-03,343.56,367.28,320.08,341.77,1970-01-01 00:00:05,1504483199999,1801702.6178029,6153,2240.91753,767938.2521776,0
"19",2017-09-04,339.29,344.55,267.94,283.77,1970-01-01 00:00:06,1504569599999,2002446.181802,7403,2954.16805,877011.1066647,0
"20",2017-09-05,286.81,321.52,235.55,312.09,1970-01-01 00:00:08,1504655999999,2397490.9178386,8999,4312.97282,1251958.9913116,0
"21",2017-09-06,313.29,336.34,312.09,335,1970-01-01 00:00:05,1504742399999,1793962.8584994,7089,2183.65363,713126.1017199,0
"22",2017-09-07,335.01,342.5,320.17,334.49,1970-01-01 00:00:03,1504828799999,1027135.6869524,2635,1321.09841,438034.1732964,0
"23",2017-09-08,334.49,335.1,272,302.99,1970-01-01 00:00:04,1504915199999,1494309.8866163,3227,2306.94838,698362.8493954,0
