Date,EUR_USD,GBP_USD,BRL_USD,JPY_USD,CHF_USD
2005-01-03,1.3476,1.9058,2.6695,102.83,1.1466
2005-01-04,1.3295,1.8834,2.702,104.27,1.1674
2005-01-05,1.3292,1.8875,2.697,103.95,1.1673
2005-01-06,1.3187,1.8751,2.719,104.87,1.1733
2005-01-07,1.3062,1.8702,2.7095,104.93,1.1859
2005-01-10,1.3109,1.8751,2.6955,104.32,1.1792
2005-01-11,1.3161,1.8796,2.712,103.42,1.1758
2005-01-12,1.3281,1.8932,2.6961,102.26,1.1649
2005-01-13,1.3207,1.8832,2.699,102.55,1.1726
2005-01-14,1.3106,1.8695,2.704,102.5,1.1821
2005-01-17,,,,,
2005-01-18,1.3043,1.8693,2.713,102.36,1.1839
2005-01-19,1.3036,1.8742,2.704,102.52,1.1833
2005-01-20,1.2959,1.872,2.7227,103.31,1.1904
2005-01-21,1.3049,1.874,2.6902,102.85,1.1853
2005-01-24,1.3041,1.8778,2.6795,102.67,1.1856
2005-01-25,1.2954,1.8647,2.686,104.16,1.196
2005-01-26,1.3081,1.8833,2.6673,102.9,1.1828
2005-01-27,1.3032,1.8866,2.6635,103.15,1.1859
2005-01-28,1.3033,1.885,2.6477,103.45,1.1876
2005-01-31,1.3049,1.885,2.6115,103.55,1.1877
2005-02-01,1.3017,1.8792,2.605,103.93,1.1937
2005-02-02,1.3015,1.8826,2.6175,104.05,1.1949
2005-02-03,1.2959,1.8805,2.6042,104.55,1.2029
2005-02-04,1.2927,1.885,2.6,103.7,1.2059
2005-02-07,1.2773,1.8607,2.6015,104.68,1.2222
2005-02-08,1.2783,1.857,2.631,105.65,1.2203
2005-02-09,1.2797,1.8582,2.6075,105.84,1.217
2005-02-10,1.2882,1.8708,2.611,105.69,1.2087
2005-02-11,1.2864,1.866,2.6065,105.75,1.2095
2005-02-14,1.2981,1.8917,2.582,104.94,1.1975
2005-02-15,1.2986,1.8894,2.5728,104.47,1.1938
2005-02-16,1.2994,1.878,2.591,105.62,1.1911
2005-02-17,1.3083,1.895,2.564,105.4,1.1825
2005-02-18,1.3075,1.8949,2.566,105.69,1.1822
2005-02-21,,,,,
2005-02-22,1.323,1.9092,2.5922,104.15,1.1617
2005-02-23,1.3208,1.9066,2.58,104.96,1.1638
2005-02-24,1.3205,1.9104,2.6025,105.41,1.1691
2005-02-25,1.3195,1.9149,2.6265,105.21,1.1686
2005-02-28,1.3274,1.9249,2.5846,104.25,1.1585
2005-03-01,1.3189,1.9206,2.6103,104.37,1.1654
2005-03-02,1.3127,1.9124,2.627,104.71,1.1755
2005-03-03,1.313,1.9098,2.698,105.02,1.1787
2005-03-04,1.3244,1.9243,2.6513,104.46,1.168
2005-03-07,1.3203,1.9159,2.6539,105.22,1.1757
2005-03-08,1.3342,1.9292,2.6925,104.51,1.1607
2005-03-09,1.3384,1.9239,2.7186,103.87,1.1608
2005-03-10,1.3409,1.9233,2.729,104.15,1.1546
2005-03-11,1.3465,1.9261,2.6975,103.93,1.1501
2005-03-14,1.3346,1.9116,2.753,105.01,1.1621
2005-03-15,1.3315,1.9134,2.7755,104.54,1.1651
2005-03-16,1.3423,1.9264,2.744,104.1,1.1522
2005-03-17,1.3373,1.924,2.7345,104.57,1.1563
2005-03-18,1.3311,1.9192,2.709,104.7,1.1649
2005-03-21,1.3165,1.8974,2.722,105.1,1.1785
2005-03-22,1.321,1.8997,2.708,104.99,1.1757
2005-03-23,1.3005,1.8712,2.7455,105.76,1.1953
2005-03-24,1.2957,1.8709,2.7415,106.26,1.199
2005-03-25,1.2954,1.8684,2.7385,106.32,1.1998
2005-03-28,1.2877,1.8657,2.7439,107.22,1.206
2005-03-29,1.2913,1.8752,2.7053,107.49,1.2034
2005-03-30,1.2944,1.8816,2.6755,107.33,1.1964
